Player;Squad;Nation;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xAG;Gls/90;G-PK/90;Ast/90;xG/90;xAG/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xAG;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Clr/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;xA/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90;MP_Squad
İlkay Gündoğan;Barcelona;GER;MF;33;33;2725;5;4;7;6.7;9.8;0.17;0.13;0.23;0.22;0.32;La Liga;40;1.32;0.50;85.7;92.0;91.6;57.3;-2.8;0.61;0.55;0.61;1.45;0.45;74.0;0.94;53.4;5.28;0.36;28.0;2.12;34.0;0;0;0;0;0;0;0.0;0;0.0;0.0;3.75;-1.7000000000000002;57.94;67.61;28.94;22.79;4.88;950.79;247.61;0.28;2.82;5.3;1.3;0.12;6.03;1.03;5.27;0.39;1.12;0.21;-27.3;-0.81;33
Frenkie de Jong;Barcelona;NED;MF;26;20;1634;2;2;0;0.7;2.2;0.11;0.11;0.0;0.04;0.12;La Liga;7;0.39;0.22;92.1;96.4;91.8;76.9;-2.2;1.3;0.9;0.7;2.85;1.4;92.0;0.65;54.2;3.30;0.50;57.5;2.05;20.0;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;1.3;77.1;83.7;43.6;27.9;4.0;1179.05;355.7;0.25;1.05;9.35;1.7;0.35;8.4;1.0;5.85;0.95;1.1;1.15;-19.3;-0.96;33
Jules Koundé;Barcelona;FRA;DF;25;31;2539;1;1;2;2.0;2.1;0.04;0.04;0.07;0.07;0.07;La Liga;24;0.85;0.21;89.9;94.5;93.5;65.6;-0.1;0.68;0.97;0.77;1.87;2.52;86.58;0.42;41.9;1.91;0.28;63.2;2.23;32.7;0;0;0;0;0;0;0.0;0;0.0;0.0;6.0;-1.0;70.29;78.23;33.19;31.68;4.48;1189.19;378.94;0.08;0.58;7.81;0.58;0.16;7.0;1.05;4.61;0.61;0.39;2.16;-30.700000000000003;-0.98;33
Robert Lewandowski;Barcelona;POL;FW;35;31;2468;17;13;8;17.3;4.5;0.62;0.47;0.29;0.63;0.16;La Liga;83;3.03;1.20;69.4;78.8;70.3;56.7;3.5;0.16;0.39;0.26;0.52;0.55;25.97;0.55;38.6;2.11;0.40;51.7;2.13;30.7;0;0;0;0;0;0;0.0;0;0.0;0.0;2.54;-0.3000000000000007;11.65;16.77;6.97;3.35;0.55;160.19;32.39;0.1;0.81;0.77;0.71;0.13;1.74;0.99;1.52;0.71;1.65;1.48;-13.399999999999999;-0.36;33
Fermin López;Barcelona;ESP;MF,FW;20;27;1200;5;5;0;6.5;0.7;0.37;0.37;0.0;0.49;0.05;La Liga;42;3.15;1.35;81.9;92.2;80.7;67.4;-0.7;0.7;0.41;0.07;1.44;0.26;25.78;0.7;55.9;2.48;0.00;25.9;2.19;14.7;0;0;0;0;0;0;0.0;0;0.0;0.0;3.6;-1.5;15.78;19.26;9.59;4.19;1.15;229.19;50.7;0.03;0.48;1.7;0.48;0.07;2.3;0.54;2.26;1.33;0.56;0.26;-8.2;-0.050000000000000044;33
Iñigo Martínez;Barcelona;ESP;DF;32;16;936;0;0;0;0.2;0.0;0.0;0.0;0.0;0.02;0.0;La Liga;5;0.48;0.00;88.3;94.6;93.2;67.2;0.0;0.44;0.69;0.5;1.06;2.5;59.0;0.0;0;1.15;0.19;53.8;2.31;8.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;47.5;53.81;19.62;21.25;5.75;889.69;309.69;0.03;0.06;4.81;0.25;0.06;4.38;0.54;3.38;0.62;0.62;1.75;-8.4;-0.52;33
Pedri;Barcelona;ESP;MF,FW;21;20;1206;2;2;2;2.1;3.8;0.15;0.15;0.15;0.16;0.28;La Liga;11;0.82;0.30;85.9;87.7;91.4;81.0;-1.8;1.0;1.2;0.55;1.9;0.4;52.6;0.7;45.2;3.88;0.37;20.0;1.90;14.7;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;-0.10000000000000009;39.15;45.6;17.85;16.95;3.4;664.65;147.6;0.18;1.4;3.0;1.35;0.2;5.05;0.73;3.35;0.5;1.1;0.05;-12.6;-0.57;33
Iñaki Peña;Barcelona;ESP;GK;25;10;900;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;87.2;100.0;99.3;50.0;0.0;0.0;0.0;0.0;0.0;0.5;31.4;0.0;0;0.00;0.00;100.0;2.00;11.9;0;13.9;0.36;-3.1;17;1.70;56.4;20.0;3.9;2.29;0.0;0.0;25.9;29.7;7.6;14.5;3.7;566.0;368.1;0.0;0.0;0.0;0.0;0.0;0.0;1.19;1.2;0.0;0.1;0.4;-11.9;-1.19;33
Raphinha;Barcelona;BRA;FW;27;26;1217;5;5;9;6.4;5.4;0.37;0.37;0.67;0.47;0.4;La Liga;51;3.77;1.33;75.0;82.1;83.3;56.1;3.6;0.27;0.65;0.46;0.96;0.38;31.46;0.85;51.2;5.99;0.89;64.3;2.08;13.9;0;0;0;0;0;0;0.0;0;0.0;0.0;3.6;-1.4000000000000004;18.38;24.5;9.0;6.54;2.31;314.85;85.35;0.19;1.46;1.31;1.23;0.31;2.08;0.53;2.65;0.62;0.92;0.35;-7.5;-0.06000000000000005;33
Sergi Roberto;Barcelona;ESP;MF,DF;32;11;726;3;3;1;1.6;0.6;0.37;0.37;0.12;0.2;0.07;La Liga;8;0.99;0.50;89.5;93.6;90.6;79.3;0.4;0.82;0.55;0.55;1.73;0.36;57.36;0.18;50.0;2.36;0.25;41.2;2.55;7.9;0;0;0;0;0;0;0.0;0;0.0;0.0;1.33;1.4;45.64;51.0;26.73;14.82;2.09;657.82;149.36;0.05;0.73;4.27;0.18;0.09;3.82;0.72;3.64;0.64;0.45;0.64;-6.300000000000001;-0.52;33
Oriol Romeu;Barcelona;ESP;MF;32;25;882;0;0;1;0.7;1.3;0.0;0.0;0.1;0.07;0.13;La Liga;10;1.02;0.20;88.7;93.0;91.5;63.2;-0.3;0.76;0.48;0.4;1.64;0.68;34.52;0.16;80.0;1.63;0.10;45.2;2.24;11.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.7;26.64;30.04;13.84;10.76;1.44;422.0;101.88;0.04;0.32;2.92;0.32;0.04;2.44;0.46;2.44;0.6;0.44;0.56;-10.9;-0.39;33
